variable,label,question,valid_range,missing_codes,years_available,has_notes,n_value_labels
VCF0744,Have Access to Internet,"Do you have access to the Internet or the World Wide Web [exc. 2008:

(‘the Web’)]?",1-5,9,"1996, 1998, 2000, 2004, 2008",Yes,3
VCF0745,Saw Election Campaign Information on the Internet,"1996-2004: (IF R HAS ACCESS TO THE INTERNET/WEB:) Have you seen
any
information about this election campaign on (the Int",1-5,9,"1996, 1998, 2000, 2004",Yes,4
VCF0746,Did Religious/Moral Group Try to Influence Respondent Vote,"Were there any groups concerned with moral or religious issues
that
tried to encourage you to vote in a particular way?",1-5,9,"1996, 1998, 2000",No,3
VCF0747,Information about Candidates/Parties/Issues at Church,"Was information about candidates, parties, or political issues
made
available in your place of worship before the electi",1-7,9,"1996, 1998, 2000",No,4
VCF0748,Voted on Election Day or Before,"Did you vote on election day – that is [date of election] or did
you
vote at some time before this?",1-5,9,"1994, 1996, 1998, 2000, 2002, 2004, 2008, 2020",No,3
VCF0749,How Long Before Election Did Respondent Vote,"(IF R VOTED BEFORE ELECTION DAY: )
How long before [date of election]
did you vote?",1-97,99,"1994, 1996, 1998, 2000, 2002, 2004, 2008",Yes,13
VCF0750,Vote in Person Or with Absentee Ballot,"(IF R VOTED BEFORE ELECTION DAY: )
Did you vote in person or by
absentee ballot?",1-7,9,"1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008",No,4
VCF0801,Thermometer Index - Rating of Liberals and Conservatives,Liberal/conservative index,0-97,98;99,,Yes,5
VCF0803,Liberal-Conservative Scale,"ALL YEARS EXC. 2000 TELEPHONE,2002: 
We hear a lot of talk these days
about liberals and conservatives. Here
is (1972,19",1-9,0,"1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,9
VCF0804,Liberal-Conservative Scale 1972- COLLAPSED,"ALL YEARS EXC. 2000 TELEPHONE,2002: 
We hear a lot of talk these days
about liberals and conservatives. Here
is (1972,19",1-9,0,,Yes,5
VCF0805,Government Assistance with Medical Care,"1956,1960: 
Around election time people talk about different things
that our
government in Washington is doing or should",1-9,0,"1956, 1960, 1962, 1964, 1968",Yes,4
VCF0806,Government Health Insurance Scale,"There is much concern about the rapid rise in medical and
hospital
costs. Some (1988,1994-LATER: people) feel there shou",1-9,0,"1970, 1972, 1976, 1978, 1984, 1988, 1992, 1994, 1996, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0808,Guaranteed Jobs and Income,"1956-1960: 
(Same introduction as in VCF0805 [CARD WITH RESPONSES
SHOWN]).
‘The government in Washington ought to see to",1-9,0,"1956, 1958, 1960, 1964, 1968, 2002",Yes,4
VCF0809,Guaranteed Jobs and Income Scale,"Some people feel that the government in Washington should see to
it
that every person has a job and a good standard of l",1-9,0,"1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0811,Urban Unrest Scale,"There is much discussion about the best way to deal with the
problem
of urban unrest and rioting. Some say it is more im",1-7,0;9,"1968, 1970, 1972, 1974, 1976, 1992",Yes,4
VCF0813,How Much Has the Position of Blacks Changed,"1964-1976: 
In the past few years we have heard a lot about civil
rights groups
working to improve the position of the N",1-9,0,"1964, 1966, 1968, 1970, 1972, 1976, 1984, 1986, 1988, 1990, 1992, 1994",Yes,5
VCF0814,Civil Rights Pushes Too Fast or Not Fast Enough,"Some say that the civil rights people have been trying to push
too
fast. Others feel they haven’t pushed fast enough.
Ho",1-9,0,"1964, 1966, 1968, 1970, 1972, 1974, 1976, 1980, 1984, 1986, 1988, 1990, 1992",Yes,5
VCF0815,Segregation or Desegregation,"(1964,1968-1972, 1976: What about you?)
Are you in favor of
desegregation, strict segregation, or something in
between?",1-9,0,"1964, 1968, 1970, 1972, 1976, 1978",Yes,5
VCF0816,Should Government Ensure School Integration,"1962: 
How about this statement, ‘The government in Washington should
see to it
that white and colored children are allo",1-9,0,"1962, 1964, 1966, 1968, 1970, 1972, 1976, 1978, 1986, 1990, 1992, 1994, 2000",Yes,4
VCF0817,School Busing Scale,"There is much discussion about the best way to deal with
racial
problems. Some people think achieving racial integration",1-9,0,"1972, 1974, 1976, 1980, 1984",No,4
VCF0818,Should Government Ensure Fair Jobs/Housing for Blacks,"1956,1960: 
If Negroes are not getting fair treatment in jobs and
housing, the
government should see to it that they do’",1-5,9,"1956, 1958, 1960",Yes,6
VCF0819,Open Housing,"1964,1968-1972,1976: 
Which of these statements would you agree with:
(STATEMENTS CONTAINED IN
CODE CATEGORIES READ TO R",1-9,0,"1964, 1966, 1968, 1970, 1972, 1976",Yes,4
VCF0820,Do Whites in the Area Favor Segregation,"How about white people in this area? How many would you say are
in
favor of strict segregation of the races - all of the",1-9,0,"1964, 1968, 1970, 1972, 1976",Yes,7
VCF0821,Do Blacks in the Area Favor Desegregation,"In general, how many of the black people (1964,1968,1970: Negroes)
in
this area would you say are in favor of desegregat",1-9,0,"1964, 1968, 1970, 1972, 1976",Yes,7
VCF0822,Rating of Government Economic Policy,"As to the economic policy of the government – I mean steps taken
to
fight inflation or unemployment – would you say the ",1-3,0;9,"1972, 1974, 1976",No,5
VCF0823,Better off if U.S. Unconcerned with Rest of World,"1956-1960: (Same introduction as in VCF0805 [CARD WITH RESPONSES
SHOWN]).
1968,1980:
Now I’d like to read some of the th",1-9,0,"1956, 1958, 1960, 1968, 1972, 1976, 1980, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0824,If Compelled to Choose Liberal or Conservative,"We hear a lot of talk these days about liberals and
conservatives.
Here is (1972,1974: I’m going to show you) a 7-point
",1-8,0;9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020",Yes,7
VCF0825,How Likely for U.S. to be at War/in Bigger War,"How about the chances of our country getting into a bigger
war?
Compared to a few years ago, do you think we are more li",1-9,0,"1966, 1968, 1970, 1972",Yes,5
VCF0826,Did U.S. Do Right Thing Getting Involved in War,"1952: 
Do you think we did the right thing in getting into the
fighting in
Korea two years ago or should we have stayed
",1-8,0;9,"1952, 1964, 1966, 1968, 1970, 1972, 2008",Yes,5
VCF0827,How Should U.S. Proceed in Current War,"1952: 
Which of the following things do you think it would be best
for us to do
now in Korea? (OPTIONS CORRESPONDING TO ",1-9,0,"1952, 1964, 1966, 1968, 1970",Yes,5
VCF0827a,U.S. Stand in Vietnam Scale,"(1968,1970: There is much talk about ‘hawks’ and ‘doves’ in
connection
with Vietnam, and considerable disagreement as to",1-8,0;9,"1968, 1970, 1972",Yes,5
VCF0828,Should Government Cut Military Spending,"Some people believe that our armed forces are already powerful
enough
and that we should spend less money for defense. O",1-9,0,"1972, 1976",Yes,4
VCF0829,Is the Government in Washington Too Strong,"Some people are afraid the government in Washington is getting
too
powerful for the good of the country and the individu",1-9,0,"1964, 1966, 1968, 1970, 1972, 1976, 1978, 1980, 1984, 1988, 1992, 2000",Yes,4
VCF0830,Aid to Blacks Scale,"1970-1984,1986 FORM B, 1988 FORM B: 
Some people feel that the
government in Washington should make every
possible effor",1-9,0,"1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2016, 2020, 2024",Yes,4
VCF0832,Rights of the Accused Scale,"Some people are primarily concerned with doing everything possible
to
protect the legal rights of those accused of commi",1-9,0,"1970, 1972, 1974, 1976, 1978",No,4
VCF0833,Favor or Oppose Equal Rights Amendment,"1976: An effort is being made to pass an amendment to the
U.S.
Constitution which would guarantee equal rights for all
c",1-8,9,"1976, 1978, 1980",No,4
VCF0834,Women Equal Role Scale,"Recently there has been a lot of talk about women’s rights.
Some
people feel that women should have an equal role with m",1-9,0,"1972, 1974, 1976, 1978, 1980, 1982, 1984, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008",Yes,4
VCF0836,Should Women Stay out of Politics,"1952 INTRO: 
Now I’d like to read some of the kinds of things people
tell me when I
interview them, and ask you whether ",1-9,0,"1952, 1972",Yes,4
VCF0837,When Should Abortion Be Allowed,"(1972,1976: Still on the subject of women’s rights,)
There has been
some discussion about abortion during recent years.
",1-9,0,"1972, 1976, 1978, 1980",Yes,6
VCF0838,"By Law, When Should Abortion Be Allowed","ALL YEARS EXCEPT 2000 TELEPHONE: 
There has been some discussion
about abortion during recent years.
(RESPONDENT BOOKLET",1-9,0,"1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,6
VCF0839,Government Services-Spending Scale,"Some people think the government should provide fewer services,
even
in areas such as health and education, in order to ",1-9,0,"1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0840,Favor or Oppose Term Limits,"A law has been proposed that would limit members of Congress to no
more
than 12 consecutive years of service in that off",1-8,9,"1992, 1994, 1998",Yes,4
VCF0841,Cooperation with U.S.S.R. Scale,"1980: 
Some people feel it is important for us to try very hard to
get along
with Russia. Others feel it is a big mistak",1-9,0,"1980, 1984, 1986, 1988",No,4
VCF0842,Environmental Regulation Scale,"Some people think we need much tougher government regulations
on
business in order to protect the environment. (Suppose
",1-9,0,"1996, 1998, 2000, 2020, 2024",Yes,4
VCF0843,Defense Spending Scale,"Some people believe that we should spend much less money for
defense.
(1996,2004: Suppose these people are at one end of",1-9,0,"1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004, 2008, 2016, 2020, 2024",Yes,4
VCF0844,How Willing Should U.S. Be to Use Military Force,"In the future, how willing should the United States be to use
military
force to solve international problems – extremely",1-8,9,"1992, 1996, 1998",Yes,7
VCF0845,Authority of the Bible 1964-1990,"Here are four statements about the Bible and I’d like you to tell
me
which is closest to your own view. (STATEMENTS SHOW",1-9,0,"1964, 1968, 1980, 1984, 1986, 1988, 1990",Yes,6
VCF0846,Is Religion Important to Respondent,"(2002: Now on another topic. . .)
Do you consider religion to be an
important part of your life, or not?",1-2,0;8,"1980, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0847,How Much Guidance from Religion,"(IF RELIGION IS IMPORTANT: ) Would you say that (1996-LATER: Would
you
say your) religion provides some guidance in your",1-5,0;8,"1980, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016",Yes,6
VCF0848,Concern about Conventional War,"1956: 
Now I’d like to ask you some questions about the chances of
our country
getting into war. Would you say that at t",1-9,0,"1956, 1960, 1964, 1982, 1984, 1986, 1988, 1990, 1992, 2000, 2002",Yes,5
VCF0848a,Concern about Nuclear War,"How worried are you about our country getting into a nuclear war at
this
time? Are you very worried, somewhat worried, o",1-8,9,"1984, 1988, 1990, 1992, 2000, 2002",Yes,5
VCF0849,Liberal-Conservative Position 1984- COLLAPSED,"We hear a lot of talk these days about liberals and conservatives.
I’m
going to show you [1996-LATER: Here is] a 7-point",1-6,0;9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020",Yes,6
VCF0850,Authority of the Bible 1984-,"2000 TELEPHONE: 
I am going to read you a short list of statements.
Please tell me) Which
of these statements comes clos",1-9,0,"1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",No,5
VCF0851,Newer Lifestyles Contribute to Society Breakdown,"1986,1990,1994,1996: 
Now,I am going to read several statements.
After each I would like you
to tell me whether you agre",1-8,9,"1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016",Yes,7
VCF0852,Should Adjust View of Moral Behavior to Changes,"ALL YEARS: 
‘The world is always changing and we should adjust our
view of
moral behavior to those changes.’
(2000,2004:",1-8,9,"1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,7
VCF0853,Should be More Emphasis on Traditional Values,"ALL YEARS: 
‘This country would have many fewer problems if there
were more
emphasis on traditional family ties.’
(2000,",1-8,9,"1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,7
VCF0854,Tolerance of Different Moral Standards,"ALL YEARS: 
‘We should be more tolerant of people who choose to live
according to
their own moral standards, even if the",1-8,9,"1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016",Yes,7
VCF0860,Racial Composition of Neighborhood- Respondent Description,"1964,1968,1970: 
Is this neighborhood you now live in:
[CHOICES]
1972,1976:
(IF RESPONDENT IS BLACK:) Is this
neighborho",1-5,0;8,"1964, 1968, 1970, 1972, 1976",Yes,7
VCF0861,Racial Composition of Grade School- Respondent Description,"1964,1968,1970: 
Is the grade school nearest you:
[CHOICES]
1972,1976:
(IF RESPONDENT IS BLACK:) Is the grade school
nea",1-5,0;8,"1964, 1968, 1970, 1972, 1976",Yes,7
VCF0862,Racial Composition of Junior High School,Is the junior high school nearest you: [CHOICES],1-5,0;8,"1964, 1968, 1970",Yes,7
VCF0863,Racial Composition of High School- Respondent Description,"1964,1968,1970: 
Is the high school nearest you:
[CHOICES]
1972:
(IF RESPONDENT IS BLACK:) Is the high school
nearest yo",1-5,0;8,"1964, 1968, 1970, 1972",Yes,7
VCF0864,Racial Composition of Work Place- Respondent Description,"1964,1968,1970: 
Are the people where you work:
[CHOICES]
1972:
(IF RESPONDENT IS BLACK:) Are the people who work
where ",1-5,0;8,"1964, 1968, 1970, 1972",Yes,7
VCF0865,Racial Composition of Where R Shops- Respondent Description,"1964,1968,1970: 
Are the people where you shop and trade:
[CHOICES]
1972:
(IF RESPONDENT IS BLACK:) Are the people who s",1-5,0;8,"1964, 1968, 1970, 1972",Yes,7
VCF0866,Racial Composition of Friends,"1964,1968,1970: 
Are your friends: [CHOICES]
1972,1976:
(IF
RESPONDENT IS BLACK:) Are your friends all black, mostly bla",1-5,0;8,"1964, 1968, 1970, 1972, 1976",Yes,7
VCF0867,Affirmative Action in Hiring/Promotion [1 of 2],"Some people say that because of past discrimination blacks should
be
given preference in hiring and promotion. Others sa",1-8,9,"1986, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0867a,Affirmative Action in Hiring/Promotion [2 of 2],"Some people say that because of past discrimination blacks should
be
given preference in hiring and promotion. Others sa",1-7,8;9,"1986, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,7
VCF0870,Better or Worse Economy in Past Year,"How about (1996-LATER: Now thinking about) the economy
(1990,1994-
later: in the country as a whole)?
ALL YEARS EXC. 200",1-5,0;8,"1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0871,How Much Better or Worse Economy in Past Year,"How about (1996-LATER: Now thinking about) the economy
(1990,1994-
later: in the country as a whole)?
Would you say that",1-5,0;8;9,"1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",No,8
VCF0872,Better or Worse Economy in Next Year,"What about the next 12 months (1980,1982: or so)?
ALL YEARS EXC.
2000:
Do you expect the (1986,1988,1992: national) econ",1-5,8;9,"1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0873,Did R Delay Medical/Dental Treatment Due to the Expense,"In the past year did you (or anyone in your family living
here/there)
put off medical or dental treatment because you di",1-5,8;9,"1984, 1992, 1994, 2000, 2004",Yes,4
VCF0875,Mention 1: What is the Most Important National Problem,"1960: 
What would you personally feel are the most important problems
the
government should try to take care of when the",1-97,0;98;99,"1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000",Yes,13
VCF0875a,Mention 2: What is the Most Important National Problem,Most important national problem (2),,0;991;996;997;998;999,"1960, 1964, 1966, 1968, 1970, 1972",Yes,6
VCF0875b,Mention 3: What is the Most Important National Problem,Most important national problem (3),990,0;995;996;998;999,"1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000",Yes,6
VCF0876,Law to Protect Homosexuals Against Discrimination,"Do you favor or oppose laws to protect [homosexuals/gays and lesbians]

against job discrimination?",1-8,9,"1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0876a,Strength of Position on Law to Protect Homosexuals Against Discrimination,"Do you favor or oppose laws to protect [homosexuals/gays and lesbians]

against job discrimination?
Do you favor/oppose ",1-7,9,"1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,6
VCF0877,Favor or Oppose Gays in the Military,"Do you think homosexuals should be allowed to serve in the
United
States Armed Forces or don’t you think so?",1-8,9,"1992, 1996, 2000, 2004, 2008, 2012",Yes,4
VCF0877a,Strength of Position on Gays in the Military,"Do you feel strongly or not strongly that homosexuals should
be
allowed to serve in the United States Armed forces?
Do y",1-7,9,"1992, 1996, 2000, 2004, 2008, 2012",No,6
VCF0878,Should Gays/Lesbians Be Able to Adopt Children,"Do you think gay or lesbian couples, in other words,
homosexual
couples, should be legally permitted to adopt children?",1-8,9,"1992, 2000, 2004, 2008, 2012, 2020, 2024",No,4
VCF0879,Increase or Decrease Number of Immigrants to U.S. 6-Category,"Do you think the number of immigrants from foreign countries who
are
permitted to come to the United States to live shou",1-8,9,"1992, 1994, 1996, 1998, 2004, 2008, 2012, 2016, 2020, 2024",No,7
VCF0879a,Increase or Decrease Number of Immigrants to U.S. 4-Category,"1992,1994: 
Do you think the number of immigrants from foreign
countries who are
permitted to come to the United States ",1-8,9,"1992, 1994, 1996, 1998, 2000, 2004, 2008, 2012, 2016, 2020, 2024",No,5
VCF0880,Better or Worse Off in Past Year,"1962-1998,2004: 
We are interested in how people are getting along
financially these
days. Would you say that (1962,1966",1-3,0;9,"1962, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0880a,How Much Better/Worse Off in Past Year,"1984-1998,2004: 
We are interested in how people are getting along
financially these
days. Would you say that you and yo",1-5,8;9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,7
VCF0880b,Financial Situation Better/Worse in Past Few Years,"During the last few years, has your financial situation been
getting
better, getting worse, or has it stayed the same?",1-5,8;9,"1956, 1958, 1960, 1964",No,5
VCF0881,Better or Worse Off in Next Year,"1956-1960,1964: 
Now looking ahead and thinking about the next few
years, do you expect
your financial situation will st",1-3,0;9,"1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0886,Federal Spending- Poor/Poor People,"1992,1996: poor people
2000,2012-later: aid to the poor
2002,2004:
aid to poor people",1-8,9,"1992, 1996, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0887,Federal Spending- Child Care,Child care,1-8,9,"1988, 1990, 1992, 1994, 1996, 2000, 2002, 2004, 2008, 2012, 2016",Yes,5
VCF0888,Federal Spending- Dealing with Crime,Dealing with crime,1-8,9,"1984, 1992, 1994, 1996, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0889,Federal Spending- Aids Research/Fight Aids,"1988,1990: fighting the disease AIDS
1992-1996,2000,2002: AIDS
research",1-8,9,"1988, 1990, 1992, 1994, 1996, 2000, 2002",Yes,5
VCF0890,Federal Spending- Public Schools,Public schools,1-8,9,"1984, 1988, 1990, 1992, 1994, 1996, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0891,Federal Spending- Fin Aid for College Students,Financial aid for college students,1-8,9,"1986, 1988, 1992, 1996",Yes,5
VCF0892,Federal Spending- Foreign Aid,Foreign aid,1-8,9,"1990, 1996, 2000, 2002, 2004, 2008",Yes,5
VCF0893,Federal Spending- The Homeless,"1988: the homeless
1990: government assistance for the
homeless
1992,1996: solving the problem of the homeless",1-8,9,"1988, 1990, 1992, 1996",Yes,5
VCF0894,Federal Spending- Welfare Programs,Welfare programs,1-8,9,"1992, 1994, 1996, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,5
VCF0900,Congressional District of Residence,Congressional district of interview,,0;99,"1956, 1958, 1960, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2016, 2020, 2024",Yes,3
VCF0900b,State and Congressional District- FIPS,FIPS state and Congressional district of interview,,9999,2004,Yes,1
VCF0900c,State and Congressional District- Postal Abbrev and CD,Postal code and Congressional district of interview,,9999,2004,Yes,0
VCF0901a,State Code- FIPS,State of interview - FIPS code,,0;99,"1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2016, 2020, 2024",Yes,2
VCF0901b,State Postal Abbrev,State of interview - state postal abbreviation,,99,"2020, 2024",Yes,0
VCF0902,Type of U.S. House Race,Type of House race for district of interviews,12-89,0;99,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2016, 2020",Yes,32
VCF0903,Is House Incumbent Running,Incumbent candidate - checkpoint,1-2,9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2016, 2020",Yes,3
VCF0904,Is House Incumbent Opposed,Incumbent opposed/ unopposed - checkpoint,1-2,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2016, 2020",Yes,4
VCF0905,Number of Candidates in U.S. House Race,Number of candidates - checkpoint,1-2,9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2016, 2020",Yes,3
VCF0906,Thermometer - Democratic House Candidate,House Democratic candidate - feeling thermometer,0-100,990;997;998;999,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2016, 2020",Yes,4
VCF0907,Thermometer - Republican House Candidate,House Republican candidate – feeling thermometer,0-100,990;997;998;999,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2016, 2020",Yes,4
VCF0908,Thermometer - Incumbent House Candidate,Running House incumbent candidate – feeling thermometer,0-100,990;997;998;999,2020,Yes,4
VCF0909,Thermometer - Challenger House Candidate,Challenger to running House incumbent – feeling thermometer,0-100,990;997;998;999,2020,Yes,4
VCF0910,Contact with Running U.S. House Incumbent,"There are many ways in which (U.S.
Representatives/congressional
candidates) can have contact with the
people from their",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0911,Running U.S. House Incumbent: Met Him,"Which ones?
RESPONDENT MET [incumbent] PERSONALLY",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0912,Running U.S. House Incumbent: Attended Meeting,"Which ones?
RESPONDENT ATTENDED A MEETING OR GATHERING WHERE
[incumbent] SPOKE",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0913,Running U.S. House Incumbent: Talked to Staff,"Which ones?
RESPONDENT TALKED TO A MEMBER OF [incumbent’s] STAFF OR
SOMEONE IN
[incumbent’s] OFFICE",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0914,Running U.S. House Incumbent: Received Mail,"Which ones?
RESPONDENT RECEIVED SOMETHING IN MAIL FROM [incumbent]",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0915,Running U.S. House Incumbent: Read About,"Which ones?
RESPONDENT READ ABOUT [incumbent] IN A NEWSPAPER OR
MAGAZINE",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0916,Running U.S. House Incumbent: Heard on Radio,"Which ones?
RESPONDENT HEARD [incumbent] ON THE RADIO",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0917,Running U.S. House Incumbent: Saw on TV,"Which ones?
RESPONDENT SAW [incumbent] ON TV",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0918,Know Anyone Who had Contact with Running U.S. House Incumbent,"Do you know anyone, any of your family, friends or people at work,
who
have had some contact with [incumbent]?",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0919,Challenger to Running U.S. House Incumbent,"How about [challenging candidate] who also ran for has been the
U.S.
House of Representative from this district.
Have yo",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0920,Challenger to U.S. House Running Incumbent: Met Him,"Which ones?
RESPONDENT MET [challenger] PERSONALLY",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0921,Challenger to U.S. House Running Incumbent: Attended Meeting,"Which ones?
RESPONDENT ATTENDED A MEETING OR GATHERING WHERE
[challenger] SPOKE",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0922,Challenger to U.S. House Running Incumbent: Talked to Staff,"Which ones?
RESPONDENT TALKED TO A MEMBER OF [challenger’s] STAFF OR
SOMEONE IN
[challenger’s] OFFICE",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0923,Challenger to U.S. House Running Incumbent: Received Mail,"Which ones?
RESPONDENT RECEIVED SOMETHING IN MAIL FROM [challenger]",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0924,Challenger to U.S. House Running Incumbent: Read About,"Which ones?
RESPONDENT READ ABOUT [challenger] IN A NEWSPAPER OR
MAGAZINE",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0925,Challenger to U.S. House Running Incumbent: Heard on Radio,"Which ones?
RESPONDENT HEARD [challenger] ON THE RADIO",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
VCF0926,Challenger to U.S. House Running Incumbent: Saw on TV,"Which ones?
RESPONDENT SAW [challenger] ON TV",1-5,0;9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994",Yes,4
